                    <<score>>                  
-----------------------------------------------
     name              kor eng mat sum avr rank
-----------------------------------------------
KwonDoKyun           100 100 100 300 100.00   1
KangMin              100 100 100 300 100.00   1
LeeYunYeol            95  95  90 280 93.33   3
LimYOHan              95  85 100 280 93.33   3
HongGinHo             90  85  91 266 88.67   5
SeoJiSoo              85  90  85 260 86.67   6
LeeYoungHo            91  85  71 247 82.33   7
LeeGiSuk              51  91  85 227 75.67   8
MaJeaYoon             81  91  45 217 72.33   9
ChoYunSeoung          50  60  70 180 60.00  10
